"Relative Time","Error -26612:PlaeOrder.c(193) Error -26612 HTTP Status-Code=500 (Internal Server Error) for ""http//localhost8080/jpetstore/actions/Order.action?newOrder=&confirmed=true"""
"00:00","0"
"01:04","0"
"02:08","0"
"03:12","0"
"04:16","0"
"05:20","0.016"
"06:24","0"
"07:28","0"
"08:32","0.016"
"09:36","0"
"10:40","0"
"11:44","0"
"12:48","0"
"13:52","0"
"14:56","0"
"16:00","0"
"17:04","0"
"18:08","0"
"19:12","0"
"20:16","0"
"21:20","0"
"22:24","0"
"23:28","0"
"24:32","0"
"25:36","0"
"26:40","0"
"27:44","0"
"28:48","0"
"29:52","0"
"30:56","0"
"32:00","0"
"33:04","0"
"34:08","0"
"35:12","0"
"36:16","0"
